"gene_i","gene_j","pcor_asthma","pcor_normal","delta"
"224568_x_at","211367_s_at",-0.254604732172303,0.335178279092185,-0.589783011264488
"219759_at","226085_at",0.155975523432977,-0.406781090751045,0.562756614184021
"224568_x_at","225046_at",0.160175620015617,-0.387362415546777,0.547538035562394
"200799_at","216576_x_at",0.342701132930338,-0.187792172063261,0.5304933049936
"211555_s_at","211367_s_at",-0.0727959150416896,0.45532558134921,-0.528121496390899
"211367_s_at","230877_at",0.162747557562135,-0.355796666549702,0.518544224111837
"213831_at","209025_s_at",0.133101430266265,-0.383956954994994,0.517058385261259
"209480_at","209025_s_at",-0.114503253811097,0.385049438761183,-0.49955269257228
"216491_x_at","216576_x_at",-0.139272409173315,0.348723599511763,-0.487996008685077
"215379_x_at","215121_x_at",0.11762568318272,0.599537119434713,-0.481911436251993
"224361_s_at","210105_s_at",0.0121438523273138,-0.462444058146234,0.474587910473548
"212094_at","218349_s_at",0.0770455042039219,-0.394964897480185,0.472010401684107
"215379_x_at","211367_s_at",-0.480751911556319,-0.0170690891253328,-0.463682822430986
"201122_x_at","205463_s_at",-0.112611302664404,0.34723166788589,-0.459842970550294
"211430_s_at","205105_at",0.111574584700829,-0.341383736470302,0.452958321171131
"235278_at","206632_s_at",-0.0679278263374316,0.38472961893874,-0.452657445276171
"224837_at","213534_s_at",0.327181512287443,-0.123228022801918,0.45040953508936
"208151_x_at","213534_s_at",0.275382102546658,-0.174074802768916,0.449456905315574
"209541_at","227224_at",-0.000900967701877022,0.447787565100093,-0.44868853280197
"204148_s_at","231747_at",0.284962783697951,-0.163327890974779,0.44829067467273
"211367_s_at","208151_x_at",0.103224998413558,-0.343970044011271,0.447195042424829
"211868_x_at","217157_x_at",-0.0516159987872029,0.394647234460168,-0.446263233247371
"210379_s_at","213689_x_at",-0.0619718030608594,0.384201466678027,-0.446173269738887
"212094_at","216044_x_at",0.0795110572824632,-0.365687699174171,0.445198756456634
"217378_x_at","224837_at",-0.351999141373041,0.0875745769776363,-0.439573718350678
"219759_at","231577_s_at",0.329732832281516,-0.108953408997701,0.438686241279217
"200800_s_at","226158_at",-0.0881298691371205,0.349704197620046,-0.437834066757167
"209723_at","203810_at",-0.0268001385080482,0.409214770361008,-0.436014908869056
"218349_s_at","216044_x_at",-0.0603886236530195,0.373652088248689,-0.434040711901709
"231577_s_at","205306_x_at",-0.0943806552337565,0.339362932962214,-0.43374358819597
"203153_at","1554733_at",0.0879627872312898,-0.339926976810056,0.427889764041346
"224321_at","200664_s_at",-0.0632790629380067,-0.488034298470864,0.424755235532857
"223062_s_at","216033_s_at",-0.319150226781068,0.100067552802501,-0.419217779583569
"208103_s_at","216693_x_at",0.282690114722251,-0.136522496851444,0.419212611573695
"231576_at","231862_at",0.292466630357966,-0.12566898451073,0.418135614868697
"1563445_x_at","223501_at",-0.0614726297333983,-0.479051712174175,0.417579082440777
"238430_x_at","231152_at",-0.0881119130450352,0.329427215587905,-0.41753912863294
"214916_x_at","235401_s_at",-0.0590114610528144,0.358134188328645,-0.417145649381459
"204271_s_at","213642_at",0.0605207990793206,-0.355793459939385,0.416314259018705
"215379_x_at","221253_s_at",-0.425084264592343,-0.00984197802859566,-0.415242286563747
"208828_at","235117_at",-0.0709408418394234,0.342166995700453,-0.413107837539876
"216491_x_at","AFFX-BioB-M_at",-0.288259153293129,0.124604230443085,-0.412863383736214
"224361_s_at","216033_s_at",0.00329764956804162,0.414738486098653,-0.411440836530611
"215379_x_at","213534_s_at",-0.373898076967898,0.0348259430989019,-0.4087240200668
"224838_at","213534_s_at",-0.419039387327768,-0.0116950184046297,-0.407344368923138
"1558080_s_at","1565162_s_at",0.343742832282515,-0.0615037850023288,0.405246617284844
"1565162_s_at","228390_at",0.301665665861711,-0.103507256650438,0.405172922512149
"217480_x_at","224156_x_at",0.291574546584108,-0.112004282161901,0.40357882874601
"214916_x_at","200864_s_at",0.0626943829127282,-0.33927337294621,0.401967755858938
"213831_at","205306_x_at",0.0401634176057071,-0.359118372615233,0.399281790220941
"211367_s_at","216044_x_at",-0.317491313858851,0.0805681977048735,-0.398059511563725
"211555_s_at","200664_s_at",-0.065432659873351,0.332318301256556,-0.397750961129907
"216491_x_at","224838_at",0.353847302982797,-0.0438396806595514,0.397686983642349
"213797_at","203153_at",0.0497671374357698,0.444649368922967,-0.394882231487197
"230760_at","244482_at",0.0788297565595523,0.472218241798224,-0.393388485238672
"237215_s_at","201397_at",0.0505112764445566,-0.34285573106012,0.393367007504676
"213534_s_at","AFFX-BioB-M_at",0.296866663415708,-0.0963265982880185,0.393193261703726
"205001_s_at","200664_s_at",0.326181420607761,-0.0641053211927064,0.390286741800467
"221253_s_at","224838_at",-0.352945180847572,0.0359667141218702,-0.388911894969443
"206632_s_at","1553436_at",0.0309758455778268,-0.357057828616708,0.388033674194535
"211868_x_at","231166_at",0.00203257695690842,0.389753270732071,-0.387720693775163
"1562836_at","1565162_s_at",0.0226648879667173,-0.364594451891705,0.387259339858422
"212205_at","AFFX-BioB-3_at",0.282564120997779,-0.104535601094802,0.387099722092582
"1563445_x_at","216693_x_at",-0.0219809506679992,-0.408878058799275,0.386897108131275
"212092_at","218349_s_at",-0.00344405751203405,0.383275102892964,-0.386719160404998
"204342_at","207901_at",-0.0248366384500594,0.361652208664327,-0.386488847114387
"209138_x_at","200664_s_at",-0.036935780915755,0.349016469881873,-0.385952250797628
"214916_x_at","213689_x_at",-0.0146169697787999,-0.399275046803663,0.384658077024863
"216576_x_at","211555_s_at",-0.304868217787263,0.0785853389140577,-0.383453556701321
"239082_at","204444_at",0.278641199813151,-0.103738516092398,0.38237971590555
"229367_s_at","204148_s_at",0.0300598736410731,-0.351964500755664,0.382024374396737
"200800_s_at","216576_x_at",-0.318475299764945,0.063326132079438,-0.381801431844383
"213831_at","214971_s_at",0.291182691034597,-0.0893127182735845,0.380495409308181
"208828_at","209025_s_at",0.0410617831127698,0.421184724883019,-0.380122941770249
"244780_at","238013_at",0.0603968411515724,0.440252351407341,-0.379855510255769
"213831_at","223940_x_at",-0.298142008390213,0.081460315015791,-0.379602323406004
"224918_x_at","233827_s_at",0.375406537469344,-0.00390843982836297,0.379314977297707
"238774_at","242943_at",-0.0239219481661141,0.35498861136727,-0.378910559533384
"208018_s_at","227812_at",0.0182175168804904,0.396002235728187,-0.377784718847697
"214315_x_at","235446_at",-0.00175652131630378,-0.37948142681776,0.377724905501456
"214916_x_at","213875_x_at",0.0430956868775178,0.419822494147538,-0.37672680727002
"212956_at","222891_s_at",-0.0431376563228728,0.333555118247013,-0.376692774569885
"211868_x_at","212314_at",0.0373989834505533,-0.338391665024712,0.375790648475265
"209138_x_at","212094_at",0.0439820083600419,-0.33159598995783,0.375577998317872
"205403_at","209301_at",0.0249471898491696,-0.350050946627958,0.374998136477127
"211367_s_at","201008_s_at",-0.0274746432328544,0.345521648679418,-0.372996291912272
"224838_at","216945_x_at",0.32461889905673,-0.0478618292228388,0.372480728279569
"213875_x_at","201010_s_at",0.0305382574387357,-0.34130144214172,0.371839699580456
"203817_at","214916_x_at",0.00630856134934858,-0.3655159105044,0.371824471853749
"237215_s_at","216033_s_at",-0.0245022481577391,0.346979583122987,-0.371481831280726
"1555193_a_at","222846_at",0.087102823174386,0.458199810216402,-0.371096987042016
"208767_s_at","236488_s_at",0.0246709313729155,-0.346259904986551,0.370930836359467
"230659_at","239082_at",0.0220256382948241,-0.348868668769853,0.370894307064677
"215214_at","218717_s_at",0.00933822372192843,-0.361451984466268,0.370790208188197
"226725_at","236198_at",-0.0380024558760293,0.332563626579398,-0.370566082455427
"217235_x_at","211868_x_at",0.0472745888382077,0.417143061951567,-0.36986847311336
"1565162_s_at","216693_x_at",-0.309946666215092,0.0594851621360146,-0.369431828351107
"208828_at","1564053_a_at",0.125737055760055,0.495126669910643,-0.369389614150587
"218349_s_at","204444_at",0.00429005261533123,0.372920760334144,-0.368630707718813
"243999_at","235341_at",0.341444230142005,-0.0270712838412627,0.368515513983268
"206085_s_at","220892_s_at",0.153125729245131,0.519929904694594,-0.366804175449463
"214315_x_at","228167_at",-0.0367671171472833,0.329606650971178,-0.366373768118461
"204999_s_at","224405_at",0.0163226368429349,-0.349088608915587,0.365411245758522
"216044_x_at","AFFX-BioB-3_at",0.314267740299319,-0.0510578827783004,0.365325623077619
"213534_s_at","204148_s_at",0.330867627194879,-0.032629638338251,0.36349726553313
"209138_x_at","218349_s_at",2.64636001672061e-05,0.363445639504387,-0.36341917590422
"1565162_s_at","233827_s_at",-0.30663910982539,0.0560726577276842,-0.362711767553074
"215379_x_at","216365_x_at",-0.3053145266299,0.0572442715319563,-0.362558798161856
"228297_at","200602_at",0.040181902067972,0.402699047886617,-0.362517145818645
"211644_x_at","216542_x_at",-0.0298467818688372,0.332373223323044,-0.362220005191881
"215176_x_at","201890_at",0.0236705531185962,-0.338287676548692,0.361958229667288
"203817_at","201122_x_at",-0.29346049150097,0.0677726015100018,-0.361233093010972
"232017_at","218566_s_at",0.00958662516346355,-0.351419186903584,0.361005812067048
"211367_s_at","219497_s_at",0.0190848848648934,-0.341693477943152,0.360778362808046
"213537_at","204507_s_at",-0.0315036957066936,0.328707523124812,-0.360211218831505
"1563445_x_at","226841_at",0.00470504118760808,0.364825319135185,-0.360120277947577
"1552701_a_at","208103_s_at",0.282492412735942,-0.0775116004338805,0.360004013169823
"213689_x_at","211077_s_at",0.00662031014069531,-0.353196826101353,0.359817136242048
"1552701_a_at","213534_s_at",0.282218689241352,-0.0775616816698001,0.359780370911153
"1564150_a_at","215946_x_at",0.0168114725206257,-0.342377157360959,0.359188629881585
"236165_at","202688_at",0.31133253333848,-0.047840907103323,0.359173440441803
"226641_at","222848_at",0.0320385754135959,0.390166827699206,-0.35812825228561
"228636_at","243366_s_at",0.282316695842485,-0.0757651698002779,0.358081865642762
"1565162_s_at","217480_x_at",-0.278595852737177,0.0794061779979656,-0.358002030735143
"200800_s_at","211074_at",-0.349385479981435,0.00770125550053745,-0.357086735481972
"221690_s_at","208683_at",-0.0155108558752491,0.341095690357824,-0.356606546233073
"211637_x_at","214315_x_at",-0.0106631295288856,0.345477575350055,-0.356140704878941
"215379_x_at","216945_x_at",0.275293233688709,-0.0807731443447129,0.356066378033422
"224571_at","227742_at",-0.0212253977349781,0.33462680296048,-0.355852200695458
"212044_s_at","1567628_at",-0.0792685252906185,-0.433983317003219,0.354714791712601
"215379_x_at","224838_at",0.355213438207451,0.000944052195078098,0.354269386012373
"214916_x_at","218349_s_at",0.0796824131684656,0.433554799548312,-0.353872386379846
"208151_x_at","231862_at",-0.0141305329875418,0.338700381065211,-0.352830914052753
"235401_s_at","223062_s_at",0.324475585061566,-0.0276400392847986,0.352115624346365
"214677_x_at","209891_at",0.00581445176933592,0.355818730164035,-0.350004278394699
"204999_s_at","212592_at",-0.0315303099567817,-0.380185290913836,0.348654980957055
"204866_at","235438_at",-0.0161581163073533,0.332470111009764,-0.348628227317117
"211645_x_at","204759_at",-0.00770199317783701,0.340769993770052,-0.348471986947889
"211650_x_at","216450_x_at",0.303255285037548,-0.0437179913056777,0.346973276343226
"236694_at","209524_at",-0.00839814570998061,0.338560294239955,-0.346958439949936
"1553436_at","1554474_a_at",-0.0108171474479797,0.334121287543426,-0.344938434991405
"204271_s_at","227224_at",-0.00192121992155375,-0.346735838854215,0.344814618932661
"213831_at","227524_at",0.281277084349071,-0.0632562275407387,0.34453331188981
"212977_at","211338_at",0.0140188751341387,0.358290144524726,-0.344271269390587
"1558080_s_at","211077_s_at",-0.0747649137449646,-0.418669051383577,0.343904137638613
